"iso2","citizen","values","geo"
"AT","Afghanistan",12485,"Austria"
"AT","Albania",100,"Austria"
"AT","Iraq",8905,"Austria"
"AT","Kosovo",2250,"Austria"
"AT","Other countries",11580,"Austria"
"AT","Pakistan",2695,"Austria"
"AT","Syria",16575,"Austria"
"CH","Afghanistan",1910,"Switzerland"
"CH","Albania",330,"Switzerland"
"CH","Iraq",740,"Switzerland"
"CH","Kosovo",405,"Switzerland"
"CH","Other countries",17180,"Switzerland"
"CH","Pakistan",130,"Switzerland"
"CH","Syria",2265,"Switzerland"
"DE","Afghanistan",14405,"Germany"
"DE","Albania",44140,"Germany"
"DE","Iraq",13580,"Germany"
"DE","Kosovo",31020,"Germany"
"DE","Other countries",88260,"Germany"
"DE","Pakistan",4980,"Germany"
"DE","Syria",65915,"Germany"
"FR","Afghanistan",755,"France"
"FR","Albania",1925,"France"
"FR","Iraq",2345,"France"
"FR","Kosovo",3470,"France"
"FR","Other countries",34535,"France"
"FR","Pakistan",1110,"France"
"FR","Syria",2800,"France"
"HU","Afghanistan",45295,"Hungary"
"HU","Albania",235,"Hungary"
"HU","Iraq",9020,"Hungary"
"HU","Kosovo",23640,"Hungary"
"HU","Other countries",16335,"Hungary"
"HU","Pakistan",14960,"Hungary"
"HU","Syria",63920,"Hungary"
"IT","Afghanistan",2860,"Italy"
"IT","Albania",285,"Italy"
"IT","Iraq",315,"Italy"
"IT","Kosovo",195,"Italy"
"IT","Other countries",48605,"Italy"
"IT","Pakistan",5745,"Italy"
"IT","Syria",365,"Italy"
"other","Afghanistan",11100,"Other European countries"
"other","Albania",2680,"Other European countries"
"other","Iraq",25580,"Other European countries"
"other","Kosovo",1510,"Other European countries"
"other","Other countries",49235,"Other European countries"
"other","Pakistan",3290,"Other European countries"
"other","Syria",38865,"Other European countries"
"SE","Afghanistan",9775,"Sweden"
"SE","Albania",1990,"Sweden"
"SE","Iraq",5295,"Sweden"
"SE","Kosovo",1450,"Sweden"
"SE","Other countries",23930,"Sweden"
"SE","Pakistan",315,"Sweden"
"SE","Syria",25390,"Sweden"
"UK","Afghanistan",1875,"United Kingdom"
"UK","Albania",1295,"United Kingdom"
"UK","Iraq",1295,"United Kingdom"
"UK","Kosovo",15,"United Kingdom"
"UK","Other countries",17905,"United Kingdom"
"UK","Pakistan",2375,"United Kingdom"
"UK","Syria",1865,"United Kingdom"
