"citizen","time","value"
"Afghanistan",2008-01-01,745
"Afghanistan",2008-02-01,715
"Afghanistan",2008-03-01,595
"Afghanistan",2008-04-01,730
"Afghanistan",2008-05-01,825
"Afghanistan",2008-06-01,675
"Afghanistan",2008-07-01,945
"Afghanistan",2008-08-01,1025
"Afghanistan",2008-09-01,1050
"Afghanistan",2008-10-01,985
"Afghanistan",2008-11-01,935
"Afghanistan",2008-12-01,1145
"Afghanistan",2009-01-01,1495
"Afghanistan",2009-02-01,1330
"Afghanistan",2009-03-01,1335
"Afghanistan",2009-04-01,1190
"Afghanistan",2009-05-01,1410
"Afghanistan",2009-06-01,1450
"Afghanistan",2009-07-01,1565
"Afghanistan",2009-08-01,1625
"Afghanistan",2009-09-01,1665
"Afghanistan",2009-10-01,1730
"Afghanistan",2009-11-01,1735
"Afghanistan",2009-12-01,1540
"Afghanistan",2010-01-01,1745
"Afghanistan",2010-02-01,1455
"Afghanistan",2010-03-01,1365
"Afghanistan",2010-04-01,1190
"Afghanistan",2010-05-01,1100
"Afghanistan",2010-06-01,1250
"Afghanistan",2010-07-01,1440
"Afghanistan",2010-08-01,1640
"Afghanistan",2010-09-01,1660
"Afghanistan",2010-10-01,1560
"Afghanistan",2010-11-01,1595
"Afghanistan",2010-12-01,1810
"Afghanistan",2011-01-01,1760
"Afghanistan",2011-02-01,1665
"Afghanistan",2011-03-01,2005
"Afghanistan",2011-04-01,1705
"Afghanistan",2011-05-01,2055
"Afghanistan",2011-06-01,2180
"Afghanistan",2011-07-01,2150
"Afghanistan",2011-08-01,2240
"Afghanistan",2011-09-01,2380
"Afghanistan",2011-10-01,2185
"Afghanistan",2011-11-01,2095
"Afghanistan",2011-12-01,1840
"Afghanistan",2012-01-01,1965
"Afghanistan",2012-02-01,1720
"Afghanistan",2012-03-01,1910
"Afghanistan",2012-04-01,1640
"Afghanistan",2012-05-01,1845
"Afghanistan",2012-06-01,1970
"Afghanistan",2012-07-01,2115
"Afghanistan",2012-08-01,2065
"Afghanistan",2012-09-01,1965
"Afghanistan",2012-10-01,2325
"Afghanistan",2012-11-01,2135
"Afghanistan",2012-12-01,1740
"Afghanistan",2013-01-01,1990
"Afghanistan",2013-02-01,1535
"Afghanistan",2013-03-01,1610
"Afghanistan",2013-04-01,1675
"Afghanistan",2013-05-01,1770
"Afghanistan",2013-06-01,1745
"Afghanistan",2013-07-01,1970
"Afghanistan",2013-08-01,1715
"Afghanistan",2013-09-01,1860
"Afghanistan",2013-10-01,2055
"Afghanistan",2013-11-01,2205
"Afghanistan",2013-12-01,2450
"Afghanistan",2014-01-01,3060
"Afghanistan",2014-02-01,2380
"Afghanistan",2014-03-01,2240
"Afghanistan",2014-04-01,2040
"Afghanistan",2014-05-01,2055
"Afghanistan",2014-06-01,2495
"Afghanistan",2014-07-01,3090
"Afghanistan",2014-08-01,3215
"Afghanistan",2014-09-01,4030
"Afghanistan",2014-10-01,4465
"Afghanistan",2014-11-01,4345
"Afghanistan",2014-12-01,5725
"Afghanistan",2015-01-01,4715
"Afghanistan",2015-02-01,4230
"Afghanistan",2015-03-01,4340
"Afghanistan",2015-04-01,5505
"Afghanistan",2015-05-01,9065
"Afghanistan",2015-06-01,13215
"Afghanistan",2015-07-01,18610
"Afghanistan",2015-08-01,19725
"Afghanistan",2015-09-01,21080
"Albania",2008-01-01,60
"Albania",2008-02-01,45
"Albania",2008-03-01,45
"Albania",2008-04-01,50
"Albania",2008-05-01,55
"Albania",2008-06-01,50
"Albania",2008-07-01,60
"Albania",2008-08-01,50
"Albania",2008-09-01,65
"Albania",2008-10-01,75
"Albania",2008-11-01,50
"Albania",2008-12-01,65
"Albania",2009-01-01,135
"Albania",2009-02-01,140
"Albania",2009-03-01,100
"Albania",2009-04-01,110
"Albania",2009-05-01,110
"Albania",2009-06-01,95
"Albania",2009-07-01,95
"Albania",2009-08-01,95
"Albania",2009-09-01,105
"Albania",2009-10-01,140
"Albania",2009-11-01,130
"Albania",2009-12-01,105
"Albania",2010-01-01,105
"Albania",2010-02-01,90
"Albania",2010-03-01,95
"Albania",2010-04-01,80
"Albania",2010-05-01,90
"Albania",2010-06-01,80
"Albania",2010-07-01,90
"Albania",2010-08-01,70
"Albania",2010-09-01,115
"Albania",2010-10-01,120
"Albania",2010-11-01,100
"Albania",2010-12-01,100
"Albania",2011-01-01,110
"Albania",2011-02-01,130
"Albania",2011-03-01,155
"Albania",2011-04-01,190
"Albania",2011-05-01,155
"Albania",2011-06-01,150
"Albania",2011-07-01,170
"Albania",2011-08-01,215
"Albania",2011-09-01,285
"Albania",2011-10-01,740
"Albania",2011-11-01,360
"Albania",2011-12-01,290
"Albania",2012-01-01,275
"Albania",2012-02-01,235
"Albania",2012-03-01,335
"Albania",2012-04-01,420
"Albania",2012-05-01,1030
"Albania",2012-06-01,545
"Albania",2012-07-01,730
"Albania",2012-08-01,520
"Albania",2012-09-01,640
"Albania",2012-10-01,825
"Albania",2012-11-01,830
"Albania",2012-12-01,720
"Albania",2013-01-01,625
"Albania",2013-02-01,705
"Albania",2013-03-01,795
"Albania",2013-04-01,870
"Albania",2013-05-01,895
"Albania",2013-06-01,725
"Albania",2013-07-01,895
"Albania",2013-08-01,700
"Albania",2013-09-01,970
"Albania",2013-10-01,1290
"Albania",2013-11-01,1175
"Albania",2013-12-01,1185
"Albania",2014-01-01,1145
"Albania",2014-02-01,1615
"Albania",2014-03-01,1530
"Albania",2014-04-01,1440
"Albania",2014-05-01,1240
"Albania",2014-06-01,1280
"Albania",2014-07-01,1440
"Albania",2014-08-01,1080
"Albania",2014-09-01,1110
"Albania",2014-10-01,1335
"Albania",2014-11-01,1625
"Albania",2014-12-01,1625
"Albania",2015-01-01,2190
"Albania",2015-02-01,2355
"Albania",2015-03-01,3690
"Albania",2015-04-01,5495
"Albania",2015-05-01,5660
"Albania",2015-06-01,6700
"Albania",2015-07-01,8990
"Albania",2015-08-01,9505
"Albania",2015-09-01,8410
"Bangladesh",2008-01-01,105
"Bangladesh",2008-02-01,155
"Bangladesh",2008-03-01,320
"Bangladesh",2008-04-01,260
"Bangladesh",2008-05-01,265
"Bangladesh",2008-06-01,270
"Bangladesh",2008-07-01,200
"Bangladesh",2008-08-01,155
"Bangladesh",2008-09-01,150
"Bangladesh",2008-10-01,185
"Bangladesh",2008-11-01,275
"Bangladesh",2008-12-01,170
"Bangladesh",2009-01-01,340
"Bangladesh",2009-02-01,350
"Bangladesh",2009-03-01,395
"Bangladesh",2009-04-01,390
"Bangladesh",2009-05-01,365
"Bangladesh",2009-06-01,320
"Bangladesh",2009-07-01,370
"Bangladesh",2009-08-01,195
"Bangladesh",2009-09-01,115
"Bangladesh",2009-10-01,190
"Bangladesh",2009-11-01,205
"Bangladesh",2009-12-01,250
"Bangladesh",2010-01-01,220
"Bangladesh",2010-02-01,340
"Bangladesh",2010-03-01,340
"Bangladesh",2010-04-01,375
"Bangladesh",2010-05-01,350
"Bangladesh",2010-06-01,400
"Bangladesh",2010-07-01,365
"Bangladesh",2010-08-01,355
"Bangladesh",2010-09-01,335
"Bangladesh",2010-10-01,495
"Bangladesh",2010-11-01,490
"Bangladesh",2010-12-01,475
"Bangladesh",2011-01-01,430
"Bangladesh",2011-02-01,505
"Bangladesh",2011-03-01,565
"Bangladesh",2011-04-01,585
"Bangladesh",2011-05-01,995
"Bangladesh",2011-06-01,1040
"Bangladesh",2011-07-01,795
"Bangladesh",2011-08-01,590
"Bangladesh",2011-09-01,605
"Bangladesh",2011-10-01,580
"Bangladesh",2011-11-01,565
"Bangladesh",2011-12-01,565
"Bangladesh",2012-01-01,475
"Bangladesh",2012-02-01,570
"Bangladesh",2012-03-01,495
"Bangladesh",2012-04-01,445
"Bangladesh",2012-05-01,450
"Bangladesh",2012-06-01,365
"Bangladesh",2012-07-01,330
"Bangladesh",2012-08-01,385
"Bangladesh",2012-09-01,360
"Bangladesh",2012-10-01,510
"Bangladesh",2012-11-01,480
"Bangladesh",2012-12-01,450
"Bangladesh",2013-01-01,485
"Bangladesh",2013-02-01,455
"Bangladesh",2013-03-01,440
"Bangladesh",2013-04-01,690
"Bangladesh",2013-05-01,725
"Bangladesh",2013-06-01,830
"Bangladesh",2013-07-01,730
"Bangladesh",2013-08-01,575
"Bangladesh",2013-09-01,685
