code,en,fr,de,it,pt,ar,ru,es,ja,zh
title,Asylum applications in Europe - origins and destinations,Demandes d'asile en Europe - origines et destinations,Asylgesuche in Europa - Herkunfts- und Zielländer,Domande d'asilo in Europa - provenienza e destinazione,Pedidos de asilo político na Europa - origens e destinos,طلبات اللجوء في أوروبا - البلدان الأصلية والوجهات ,Беженцы в Европе - откуда и куда?,Solicitudes de asilo en Europa - origen y destino,ヨーロッパにおける難民申請者の出身国と受け入れ国,欧洲的难民申请-来源国与目的地国
description,The ribbons' sizes are proportional to the number of asylum applications by country of origin and destination. Destination countries connected to countries of origin by thick ribbons have registered more asylum seekers than countries with thinner ribbons. ,Les tailles des rubans sont proportionnelles au nombre de demandes d'asile selon le pays d'origine et de destination. Les pays de destination liés à des pays d'origine par un ruban épais ont enregistré davantage de demandes d'asile que les pays avec des rubans plus minces. ,"Die Breite der Bänder zwischen Herkunfts- und Zielland ist proportional zur Anzahl migrierter Asylsuchender. Je breiter das Band, desto mehr migrierte Asylsuchende.","La dimensione delle bande è proporzionale al numero di domande d'asilo, secondo il paese d'origine e quello di destinazione. I paesi di destinazione legati ai paesi d'origine con bande più larghe hanno registrato un numero più alto di domande d'asilo rispetto ai paesi legati da bande più strette. ",Os tamanhos das faixas são proporcionais ao número de pedidos de asilo político por país de origem e destino. Países de destino ligados aos países de orgiem por faixas grossas registraram mais solicitantes de asilo do que países com faixas mais finas. ,أحجام الشرائط مُتناسبة مع عدد طلبات اللجوء حسب بلد المنشأ والمقصد. حينما يكون الربط بين بلدان المقصد وبلدان المنشأ عن طريق شرائط سميكة، فذلك يعني أنها سجّلت توافد عدد أكبر من طالبي اللجوء مقارنة بالبلدان المرتبطة بشرائط أرقّ. ,"Ширина представленных на этом инфографике полос отражает количество ходатайств о предоставлении статуса беженца в зависимости от страны-происхождения беженцев и страны, в адрес властей которой были данные ходатайства направлены. Чем шире полоса, тем больше число таких ходатайств. ",El tamaño de las cintas es proporcional al número de solicitudes de asilo por país de origen y de destino. Los países de destino unidos por una banda ancha a los países de origen han recibido más solicitantes de asilo que los países con una banda más estrecha.,色帯の太さは難民申請者の数に比例。太い色帯で結ばれている国には、細い色帯で結ばれている国よりも多くの難民申請希望者がいたことを示している。,色带的宽度与来源及目的地国的难民申请人数成正比。由较宽色带连接的目的地国及来源国，其注册难民申请人数超过较窄色带连接的国家。
footer.title,How to read this graphic,Comment lire ce graphique,Wie ist diese Grafik zu lesen?,Come leggere il grafico,Como ler o gráfico,كيف تقرأ هذا الرسم البياني ,Как расшифровать этот график?,Cómo leer este gráfico,グラフィックの見方,如何阅读这张图表
footer,"Move your mouse over the graphic to read more about the data. If you scroll over the countries (at the top or at the bottom) with your mouse, you will see the total number of asylum applications by country and the percentage share of all applications this represents. If you scroll over a ribbon, you will see the number of asylum applications by country of origin and destination. The order of countries shown can be rearranged by clicking, holding and dragging. They can also be sorted alphabetically (by clicking ‘alpha’) or by size (‘size’).","Déplacez votre souris sur le graphique pour en apprendre davantage. En pointant sur le nom des pays, vous dévouvrirez le nombre de demandes d'asile par pays et le % des demandes d'asile totales que cela représente. Lorsque vous pointez un ruban, vous pouvez voir le nombre de demandes d'asile par pays d'origine et de destination. L'ordre des pays peut être changé en cliquant dessus et en les déplaçant avec votre souris. ","Fahre mit dem Cursor über die Grafik, um mehr zu erfahren. Fährst du über ein Land, siehst du das Total der dortigen Asylgesuche und der Prozentanteil. Fährst du über ein Band, siehst du die Zahl der Asylgesuche von Migranten zwischen Herkunfts- und Zielland. Die Reihenfolge der Länder kann durch Klicken und Drag-and-drop neu geordnet werden: alphabetisch (""alpha"" klicken) oder nach Grösse (""size"" klicken).","Fate scorrere il mouse sul grafico per saperne di più. Posizionandolo sul nome di un paese, potete vedere il numero di domande d'asilo per paese d'origine (in alto) o di destinazione (in basso) e la percentuale rispetto al numero totale di richieste in Europa. L'ordine dei paesi può essere modificato semplicemente trascinando un paese a destra o a sinistra. I paesi possono anche essere visualizzati in ordine alfabetico o per numero di domande d'asilo, cliccando rispettivamente su ""alpha"" e ""size"".","Passe o mouse sobre o gráfico para ler mais sobre os dados. Se você passar com o mause sobre os países (na parte superior ou inferior), você verá o número total dos pedidos de asilo político por país e a percentagem de todos os pedidos que eles representam. Se você passar por uma faixa, verá o número de pedidos de asilo por país de origem e destino. A ordem exibida dos países pode ser reorganizada ao clicar, segurar ou arrastar. Eles também podem ser classificados por ordem alfabética (ao clicar ""alpha"") ou por tamanho (""size"").",قم بتحريك الفأرة فوق الرسم البياني للإطلاع على المزيد من البيانات. إذا كنت تنتقل عبر الدول (في الأعلى أو في الأسفل) بالفأرة، سترى إجمالي عدد طلبات اللجوء حسب البلد وما تمثله من نسبة مائوية من إجمالي الطلبات. إذا قمت بتحريك الفأرة فوق أحد الأشرطة، سترى عدد طلبات اللجوء حسب بلد المنشأ والمقصد. يُمكن أيضا إعادة ترتيب الدول من خلال النقر أو الإمساك أو السّحب. كما يُمكن إعادة ترتيبها أبجديا (عن طريق النقر على 'alpha')، أو حسب الحجم (بالنقر على 'size').,"Начав «скролить» мышью вниз или вверх по графику, Вы получите возможность получить (в процентах и в абсолютных цифрах) информацию о количестве ходатайств о предоставлении статуса беженцев в зависимости от страны-происхождения беженцев и страны, в адрес властей которых данные ходатайства были поданы. Порядок, в котором расположены страны, можно изменить, нажав мышью на данную страну и «перетащив» ее в нужное Вам место. Страны могут быть также расположены в алфавитном порядке (для этого надо нажать мышью на «alpha») или в зависимости от размера (нажав на «size»).","Mueva el ratón sobre el gráfico para ver más datos. Si desplaza el ratón sobre los países (en el extremo superior o inferior), verá el número total de solicitudes de asilo por país y la cuota porcentual sobre el total de solicitudes. Si desplaza el ratón sobre la cinta, verá el número de solicitudes de asilo por país de origen y destino. Para modificar el orden de los países clique, mantenga y arrastre. También puede clasificarlos por orden alfabético (clic en ‘alpha’) o por tamaño (‘size’).",上下にある国名をマウスでスクロールすると、国ごとの難民申請者数と、それが全体に占める割合がわかります。色帯の上をスクロールすると、出身国と受け入れ国別の難民申請者数がわかります。国の並び順を変えたい場合は国名をクリックし、ドラッグ＆ドロップをして変えられます。「alpha」をクリックするとアルファベット順に、「size」をクリックすれば太さ順に色帯を並び変えることができます。,用鼠标在图表上移动，您可以阅读到更多资料。当您的鼠标移至国家名称(图表顶部或底部)上，您可了解到每个国家的难民申请人数，以及它在难民申请总人数中所占的比例。当您的鼠标移过色带，还可以看到按来源及目的地国统计的难民申请数量。您可以点击并拖拽国家名称，来调整国家顺序，也可以点击“来源国”旁的“alpha”或“size”字样，按照字母顺序或人数规模来进行排序。
subtitle.timerange,Jan – Sept 2015,Janvier – septembre 2015: ,,,,,,,,
subtitle.sum,"995,190",995 190,,,,,,,,
subtitle.prepend,first time asylum applicants,demandeurs d'asile pour la première fois,Jan - Sept 2015: 807'965 Asylgesuche,Gennaio-Settembre 2015: 807'965 domande d'asilo,Janeiro a setembro de 2015: 807.965 pedidos de asilo político,يناير - سبتمبر 2015: 807965 مطلب لجوء,Январь-сентябрь 2015 года: общее число ходатайств о предоставлении убежища составило 807 965,ENE - SEP 2015; 807 965 solicitudes de asilo,２０１５年１月～９月の難民申請者数：８０万７９６５人,2015年1-9月：807'965份难民申请
origins,Countries of origin,Pays d'origine,Herkunftsländer,Paesi di provenienza,Países de origem,بلدان المصدر,"Страны, откуда прибывают беженцы",Países de origen,難民の出身国,来源国
destinations,Destination countries,Pays de destination,Zielländer,Paesi di destinazione,Países de destino,بلدان الوجهة ,"Страны, куда прибывают беженцы",Países de destino,難民の受け入れ国,目的地国
source,source,source,Quelle,Fonte,fonte,المصدر,Источник:,Fuente,出典,来源
eurostat,Eurostat,Eurostat,Eurostat,Eurostat,Eurostat,مكتب الإحصاء بالإتحاد الأوروبي ,Евростат,Eurostat,EU統計局,Eurostat
